,0
wiscosin_mean_md5,0.907-0.036
wiscosin_mean_md10,0.904-0.033
wiscosin_mean_md20,0.904-0.047
pima_mean_md5,0.63-0.03
pima_mean_md10,0.589-0.061
pima_mean_md20,0.579-0.027
indian_liver_mean_md5,0.808-0.047
indian_liver_mean_md10,0.814-0.04
indian_liver_mean_md20,0.82-0.017
parkinsons_mean_md5,0.876-0.037
parkinsons_mean_md10,0.861-0.046
parkinsons_mean_md20,0.83-0.056
mammographic_masses_mean_md5,0.802-0.018
mammographic_masses_mean_md10,0.808-0.023
mammographic_masses_mean_md20,0.8-0.022
thoracic_surgery_mean_md5,0.0-0.0
thoracic_surgery_mean_md10,0.0-0.0
thoracic_surgery_mean_md20,0.0-0.0
diabetic_retionapaty_mean_md5,0.656-0.038
diabetic_retionapaty_mean_md10,0.656-0.034
diabetic_retionapaty_mean_md20,0.651-0.022
thyroid_recurrence_mean_md5,0.731-0.143
thyroid_recurrence_mean_md10,0.744-0.137
thyroid_recurrence_mean_md20,0.775-0.141
blood_transfusion_mean_md5,0.804-0.11
blood_transfusion_mean_md10,0.853-0.026
blood_transfusion_mean_md20,0.85-0.02
law_mean_md5,0.944-0.002
law_mean_md10,0.944-0.002
law_mean_md20,0.943-0.001
wiscosin_softImpute_md5,0.897-0.036
wiscosin_softImpute_md10,0.854-0.057
wiscosin_softImpute_md20,0.883-0.037
pima_softImpute_md5,0.529-0.113
pima_softImpute_md10,0.569-0.038
pima_softImpute_md20,0.512-0.048
indian_liver_softImpute_md5,0.834-0.001
indian_liver_softImpute_md10,0.834-0.001
indian_liver_softImpute_md20,0.824-0.02
parkinsons_softImpute_md5,0.815-0.08
parkinsons_softImpute_md10,0.849-0.006
parkinsons_softImpute_md20,0.837-0.044
mammographic_masses_softImpute_md5,0.71-0.12
mammographic_masses_softImpute_md10,0.711-0.18
mammographic_masses_softImpute_md20,0.788-0.052
thoracic_surgery_softImpute_md5,0.0-0.0
thoracic_surgery_softImpute_md10,0.0-0.0
thoracic_surgery_softImpute_md20,0.0-0.0
diabetic_retionapaty_softImpute_md5,0.579-0.062
diabetic_retionapaty_softImpute_md10,0.597-0.128
diabetic_retionapaty_softImpute_md20,0.589-0.061
thyroid_recurrence_softImpute_md5,0.513-0.155
thyroid_recurrence_softImpute_md10,0.717-0.17
thyroid_recurrence_softImpute_md20,0.459-0.281
blood_transfusion_softImpute_md5,0.865-0.002
blood_transfusion_softImpute_md10,0.865-0.002
blood_transfusion_softImpute_md20,0.849-0.02
law_softImpute_md5,0.943-0.002
law_softImpute_md10,0.942-0.002
law_softImpute_md20,0.942-0.001
wiscosin_bayesian_md5,0.93-0.021
wiscosin_bayesian_md10,0.931-0.02
wiscosin_bayesian_md20,0.923-0.029
pima_bayesian_md5,0.59-0.031
pima_bayesian_md10,0.574-0.023
pima_bayesian_md20,0.553-0.021
indian_liver_bayesian_md5,0.806-0.045
indian_liver_bayesian_md10,0.81-0.045
indian_liver_bayesian_md20,0.803-0.052
parkinsons_bayesian_md5,0.862-0.029
parkinsons_bayesian_md10,0.867-0.02
parkinsons_bayesian_md20,0.86-0.034
mammographic_masses_bayesian_md5,0.803-0.021
mammographic_masses_bayesian_md10,0.803-0.027
mammographic_masses_bayesian_md20,0.802-0.028
thoracic_surgery_bayesian_md5,0.0-0.0
thoracic_surgery_bayesian_md10,0.0-0.0
thoracic_surgery_bayesian_md20,0.0-0.0
diabetic_retionapaty_bayesian_md5,0.662-0.025
diabetic_retionapaty_bayesian_md10,0.633-0.054
diabetic_retionapaty_bayesian_md20,0.655-0.046
thyroid_recurrence_bayesian_md5,0.818-0.191
thyroid_recurrence_bayesian_md10,0.816-0.183
thyroid_recurrence_bayesian_md20,0.785-0.163
blood_transfusion_bayesian_md5,0.862-0.004
blood_transfusion_bayesian_md10,0.816-0.098
blood_transfusion_bayesian_md20,0.847-0.031
law_bayesian_md5,0.943-0.002
law_bayesian_md10,0.943-0.002
law_bayesian_md20,0.942-0.001
